province_name,district_name,district_type,klaci_type,car_register_rank,klaci_link
서울특별시,종로구,구,안정생활형,210,https://klaci.kr/results/region/1
서울특별시,중구,구,전통안정형,207,https://klaci.kr/results/region/2
서울특별시,용산구,구,안정생활형,92,https://klaci.kr/results/region/3
서울특별시,성동구,구,전통안정형,92,https://klaci.kr/results/region/4
서울특별시,광진구,구,생활도약형,210,https://klaci.kr/results/region/5
서울특별시,동대문구,구,균형생활형,210,https://klaci.kr/results/region/6
서울특별시,중랑구,구,생활도약형,92,https://klaci.kr/results/region/7
서울특별시,성북구,구,균형생활형,92,https://klaci.kr/results/region/8
서울특별시,강북구,구,생활도약형,92,https://klaci.kr/results/region/9
서울특별시,도봉구,구,안정생활형,210,https://klaci.kr/results/region/10
서울특별시,노원구,구,안정생활형,210,https://klaci.kr/results/region/11
서울특별시,은평구,구,안정생활형,92,https://klaci.kr/results/region/12
서울특별시,서대문구,구,안전복지형,210,https://klaci.kr/results/region/13
서울특별시,마포구,구,활력생활형,210,https://klaci.kr/results/region/14
서울특별시,양천구,구,안정생활형,210,https://klaci.kr/results/region/15
서울특별시,강서구,구,만능성장형,92,https://klaci.kr/results/region/16
서울특별시,구로구,구,안정생활형,92,https://klaci.kr/results/region/17
서울특별시,금천구,구,만능성장형,92,https://klaci.kr/results/region/18
서울특별시,영등포구,구,안정혁신형,210,https://klaci.kr/results/region/19
서울특별시,동작구,구,생활도약형,92,https://klaci.kr/results/region/20
서울특별시,관악구,구,안전복지형,210,https://klaci.kr/results/region/21
서울특별시,서초구,구,안정생활형,210,https://klaci.kr/results/region/22
서울특별시,강남구,구,만능성장형,210,https://klaci.kr/results/region/23
서울특별시,송파구,구,만능성장형,92,https://klaci.kr/results/region/24
서울특별시,강동구,구,안전복지형,210,https://klaci.kr/results/region/25
부산광역시,중구,구,안정생활형,7,https://klaci.kr/results/region/26
부산광역시,서구,구,안정생활형,92,https://klaci.kr/results/region/27
부산광역시,동구,구,안정생활형,11,https://klaci.kr/results/region/28
부산광역시,영도구,구,안정생활형,92,https://klaci.kr/results/region/29
부산광역시,부산진구,구,안전복지형,210,https://klaci.kr/results/region/30
부산광역시,동래구,구,개발도약형,92,https://klaci.kr/results/region/31
부산광역시,남구,구,안정생활형,92,https://klaci.kr/results/region/32
부산광역시,북구,구,개발도약형,92,https://klaci.kr/results/region/33
부산광역시,해운대구,구,개발도약형,89,https://klaci.kr/results/region/34
부산광역시,사하구,구,기초안정형,92,https://klaci.kr/results/region/35
부산광역시,금정구,구,개발도약형,92,https://klaci.kr/results/region/36
부산광역시,강서구,구,만능성장형,130,https://klaci.kr/results/region/37
부산광역시,연제구,구,개발도약형,150,https://klaci.kr/results/region/38
부산광역시,수영구,구,개발도약형,13,https://klaci.kr/results/region/39
부산광역시,사상구,구,안정생활형,210,https://klaci.kr/results/region/40
부산광역시,기장군,군,생활도약형,150,https://klaci.kr/results/region/41
대구광역시,중구,구,안전복지형,128,https://klaci.kr/results/region/42
대구광역시,동구,구,안정생활형,150,https://klaci.kr/results/region/43
대구광역시,서구,구,안정생활형,210,https://klaci.kr/results/region/44
대구광역시,남구,구,안정생활형,92,https://klaci.kr/results/region/45
대구광역시,북구,구,생활도약형,150,https://klaci.kr/results/region/46
대구광역시,수성구,구,안정생활형,150,https://klaci.kr/results/region/47
대구광역시,달서구,구,안정생활형,150,https://klaci.kr/results/region/48
대구광역시,달성군,군,안전복지형,150,https://klaci.kr/results/region/49
인천광역시,중구,구,균형생활형,130,https://klaci.kr/results/region/50
인천광역시,동구,구,생활도약형,92,https://klaci.kr/results/region/51
인천광역시,연수구,구,안정혁신형,150,https://klaci.kr/results/region/52
인천광역시,남동구,구,안정생활형,21,https://klaci.kr/results/region/53
인천광역시,부평구,구,혁신전환형,89,https://klaci.kr/results/region/54
인천광역시,계양구,구,안정생활형,5,https://klaci.kr/results/region/55
인천광역시,서구,구,안정혁신형,150,https://klaci.kr/results/region/56
인천광역시,미추홀구,구,점진도약형,210,https://klaci.kr/results/region/57
인천광역시,강화군,군,기초안정형,8,https://klaci.kr/results/region/58
인천광역시,옹진군,군,생활도약형,21,https://klaci.kr/results/region/59
광주광역시,동구,구,균형생활형,92,https://klaci.kr/results/region/60
광주광역시,서구,구,안정생활형,150,https://klaci.kr/results/region/61
광주광역시,남구,구,안정생활형,92,https://klaci.kr/results/region/62
광주광역시,북구,구,균형생활형,150,https://klaci.kr/results/region/63
광주광역시,광산구,구,전통안정형,150,https://klaci.kr/results/region/64
대전광역시,동구,구,기초안정형,210,https://klaci.kr/results/region/65
대전광역시,중구,구,기초안정형,210,https://klaci.kr/results/region/66
대전광역시,서구,구,안전복지형,150,https://klaci.kr/results/region/67
대전광역시,유성구,구,안정혁신형,150,https://klaci.kr/results/region/68
대전광역시,대덕구,구,기초안정형,150,https://klaci.kr/results/region/69
울산광역시,중구,구,생활도약형,150,https://klaci.kr/results/region/70
울산광역시,남구,구,생활도약형,150,https://klaci.kr/results/region/71
울산광역시,동구,구,생활도약형,92,https://klaci.kr/results/region/72
울산광역시,북구,구,기초안정형,21,https://klaci.kr/results/region/73
울산광역시,울주군,군,개발도약형,130,https://klaci.kr/results/region/74
세종특별자치시,세종시,시,안정혁신형,150,https://klaci.kr/results/region/75
경기도,수원시,시,만능성장형,150,https://klaci.kr/results/region/76
경기도,성남시,시,만능성장형,92,https://klaci.kr/results/region/77
경기도,의정부시,시,안전복지형,92,https://klaci.kr/results/region/78
경기도,안양시,시,만능성장형,92,https://klaci.kr/results/region/79
경기도,부천시,시,안정생활형,92,https://klaci.kr/results/region/80
경기도,광명시,시,안정생활형,92,https://klaci.kr/results/region/81
경기도,평택시,시,만능성장형,21,https://klaci.kr/results/region/82
경기도,동두천시,시,개발도약형,92,https://klaci.kr/results/region/83
경기도,안산시,시,만능성장형,150,https://klaci.kr/results/region/84
경기도,고양시,시,만능성장형,92,https://klaci.kr/results/region/85
경기도,과천시,시,안전복지형,92,https://klaci.kr/results/region/86
경기도,구리시,시,안정생활형,92,https://klaci.kr/results/region/87
경기도,남양주시,시,만능성장형,92,https://klaci.kr/results/region/88
경기도,오산시,시,경제집중형,150,https://klaci.kr/results/region/89
경기도,시흥시,시,만능성장형,150,https://klaci.kr/results/region/90
경기도,군포시,시,안정생활형,92,https://klaci.kr/results/region/91
